,GDP,CPI,Interest,Net Income Margin,Diluted EPS,Current Ratio,Cash Conversion Cycle,Debt to Equity,Volume,Unemployment,MA30,MA7,RSI,ADX,ATR,OBV,Walmart,S&P500
2016-05-21,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,50239800.0,4.8,18.97770799001058,18.693967001778734,60.5461688940217,19.23108906724542,0.2891288275481172,80472300.0,19.735593795776367,2052.320068359375
2016-05-22,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,50239800.0,4.8,18.995483462015788,18.89252553667341,60.5461688940217,19.36731346696335,0.2684767684375374,80472300.0,19.735593795776367,2052.320068359375
2016-05-23,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,50239800.0,4.8,19.01092205047608,19.09108407156808,60.5461688940217,19.493807552415717,0.2492998564062847,80472300.0,19.63389205932617,2048.0400390625
2016-05-24,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,30299400.0,4.8,19.02297058105469,19.231528418404714,58.7039949121198,19.347560101800678,0.2387571335522783,50172900.0,19.84294319152832,2076.06005859375
2016-05-25,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,26484000.0,4.8,19.041987482706705,19.43896538870675,61.30986668526656,19.58443440665451,0.2366352763129833,76656900.0,19.910743713378903,2090.5400390625
2016-05-26,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,21791700.0,4.8,19.05625324249268,19.734785624912806,62.14420571457876,19.923694510998804,0.2245756509942407,98448600.0,20.015270233154297,2090.10009765625
2016-05-27,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,26081700.0,4.8,19.07559229532877,19.80137579781669,63.45271145782189,20.42581391248768,0.2160007130500371,124530300.0,19.98701858520508,2099.06005859375
2016-05-28,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,17321100.0,4.8,19.0928679784139,19.83729362487793,62.8206667632009,20.801609549403377,0.2025900655428358,107209200.0,19.98701858520508,2099.06005859375
2016-05-29,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,17321100.0,4.8,19.1149112701416,19.873211451939174,62.8206667632009,21.150562640825097,0.1881193465754904,107209200.0,19.98701858520508,2099.06005859375
2016-05-30,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,17321100.0,4.8,19.15602486928304,19.909129279000418,62.8206667632009,21.474590511430986,0.1746822503915268,107209200.0,19.98701858520508,2099.06005859375
2016-05-31,0.0407173937558917,0.0107847646212462,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,17321100.0,4.8,19.19713846842448,19.95957592555455,62.8206667632009,21.775473534136445,0.162204946792132,107209200.0,19.995494842529297,2096.949951171875
2016-06-01,0.0407173937558917,0.0107847646212462,0.29,2.66,0.33,0.8409,11.8833,0.5951156151135575,25170600.0,4.8,19.238534609476726,19.981369018554688,62.969519229955,22.076147408952814,0.1512243261158525,132379800.0,19.916399002075195,2099.330078125
2016-06-02,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,21662700.0,4.9,19.27056382497152,19.98217691693987,60.53401916846833,22.00680273236689,0.1460722914257274,110717100.0,20.043516159057617,2105.260009765625
2016-06-03,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,19526100.0,4.9,19.312345695495605,19.986212049211776,63.01016046939666,22.296441830403232,0.1447183532512056,130243200.0,20.020919799804688,2099.1298828125
2016-06-04,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,19123500.0,4.9,19.35159797668457,19.99105507986886,62.262340686259854,22.45838756393623,0.1359953536799001,111119700.0,20.020919799804688,2099.1298828125
2016-06-05,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,19123500.0,4.9,19.390663401285806,19.99589811052595,62.262340686259854,22.608765745074017,0.1262813998456216,111119700.0,20.020919799804688,2099.1298828125
2016-06-06,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,19123500.0,4.9,19.420006688435876,20.000741141183035,62.26234068625984,22.748402627559106,0.1172612998566486,111119700.0,20.0717716217041,2109.409912109375
2016-06-07,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,27054000.0,4.9,19.45104503631592,20.012848717825754,63.48057924498054,23.05222749065786,0.1125177657168461,138173700.0,20.06612014770508,2112.1298828125
2016-06-08,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,22090200.0,4.9,19.48189500172933,20.02293804713658,63.23625676050564,23.29939258401016,0.1048844591655731,116083500.0,20.13674736022949,2119.1201171875
2016-06-09,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,18417000.0,4.9,19.50855541229248,20.054416384015763,65.04678260590829,23.787715448671445,0.1024375129769188,134500500.0,20.083070755004883,2115.47998046875
2016-06-10,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,18209700.0,4.9,19.534922218322755,20.06006704057966,62.526513722997535,23.88059181588945,0.098954590994611,116290800.0,20.097192764282227,2096.070068359375
2016-06-11,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,22534200.0,4.9,19.579463259379068,20.070963178362167,62.9334249301824,24.025002750224992,0.0928951208719491,138825000.0,20.097192764282227,2096.070068359375
2016-06-12,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,22534200.0,4.9,19.619860967000324,20.08185931614467,62.9334249301824,24.15909861782228,0.0862597550953813,138825000.0,20.097192764282227,2096.070068359375
2016-06-13,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,22534200.0,4.9,19.67824459075928,20.09275545392717,62.9334249301824,24.28361620916262,0.0800983440171397,138825000.0,19.92487525939941,2079.06005859375
2016-06-14,0.0407173937558917,0.0107928653479594,0.37,2.66,0.33,0.8409,11.8833,0.5951156151135575,23722800.0,4.9,19.730884297688803,20.07177025931222,53.99755915419118,23.12109190839959,0.0866854269361164,115102200.0,20.043516159057617,2075.320068359375
